Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999973042293775,0.9764119533286145,0.9999999999676585
2014,0.9999914990824827,0.9702902437616304,0.999999999729834
2015,0.9999728568940748,0.9591350064416183,0.9999999975888032
2016,0.9999184330919613,0.9461250487284989,0.999999977163812
2017,0.999743417431881,0.9249920658221275,0.999999798155789
2018,0.9992269585525766,0.8878538264679336,0.999998215787043
2019,0.9977177246047417,0.8369007750716059,0.9999839878699142
2020,0.9934478564291701,0.721787690993444,0.9998810429823388
2021,0.9798820423455055,0.5709175310622855,0.9991837983556198
2022,0.9414407749118137,0.3599691778319986,0.9960460993698498
2023,0.8392444397671119,0.15129049388334997,0.9853039598340756
