Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.009439829371168534,1.6712979824718816e-08,0.9927648853214103
2014,0.019942652099526788,1.8086406900973904e-07,0.9897337766991215
2015,0.041151665479648714,1.7170638392398647e-06,0.9872018936249948
2016,0.08128905542055904,1.5239650762059604e-05,0.9835288182334792
2017,0.16342147965111622,0.0001390758750052172,0.9782903946557943
2018,0.29085331899208844,0.0011003362180153583,0.9759422341804646
2019,0.46785259261190837,0.007476000691285054,0.9754809268838854
2020,0.6673953890669987,0.03930584841398572,0.9769316999316792
2021,0.8223226415468132,0.12830542867663186,0.984648660840533
2022,0.912421950510752,0.2385098678102194,0.994379088830367
2023,0.9561768754252614,0.3173118624462483,0.998887433805048
