Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9636551359170495,0.4787814796721261,0.9970133622718826
2014,0.9610131970766937,0.45967522319094745,0.9966533847562468
2015,0.9578281221554232,0.4332761413804795,0.9963076962479034
2016,0.954395780826922,0.4277401063369975,0.9960045472450225
2017,0.9506806486276316,0.41098204739099436,0.995648493904775
2018,0.9471863207089086,0.39089371553504837,0.9952325262870132
2019,0.942828978005562,0.37367517357306484,0.9948548485498856
2020,0.9380010930271676,0.3507923137426692,0.9944822355912769
2021,0.9324158112031138,0.3374773032297053,0.9939932608710168
2022,0.9274661622192937,0.31522371655847276,0.9935549728566346
2023,0.9213720481295218,0.2948131790079492,0.9930232507050443
