Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9906170052296241,0.010599157547252496,0.9999999577096125
2014,0.9921392617418143,0.035954852306143835,0.9999998534293223
2015,0.9935949124787518,0.11328407572799497,0.9999995381847662
2016,0.9945781658788142,0.27741720206266457,0.9999986171654753
2017,0.9957226584255474,0.48640790473371653,0.9999958408251032
2018,0.9964236157872127,0.6649435419016989,0.9999883142743523
2019,0.996884580208081,0.7868129043029388,0.999980973953704
2020,0.9972365164209083,0.8508220915515211,0.9999803949166921
2021,0.9973661303050505,0.8594025408144929,0.9999879473928136
2022,0.9975993440814359,0.8276022236441346,0.9999944417391536
2023,0.9978385582287541,0.7380056798137565,0.9999979675606095
