Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999987758744009,0.9924967841011932,0.9999999999999182
2014,0.9999909407303048,0.9834989264043016,0.9999999999942983
2015,0.9999324405896632,0.9570115536371536,0.99999999959218
2016,0.9995245109760822,0.8884054515889003,0.9999999774847742
2017,0.9966588344805074,0.7059388827617494,0.9999986571519038
2018,0.9774775460836993,0.41059794375476805,0.9999403642583897
2019,0.8672828695774816,0.12869645884837175,0.9974653210826876
2020,0.4869151104688285,0.01705798253501045,0.9553731774665827
2021,0.10739651718003018,0.0012049377921777918,0.7644653995059886
2022,0.015873280974564773,3.8668859458488166e-05,0.4688043394241276
2023,0.0021257281551170385,9.07051205113906e-07,0.23895320097365907
