Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9948887587424272,0.03642928345535154,0.9999999763135643
2014,0.9949677755656778,0.09877259155430507,0.9999999159216773
2015,0.9952763853494566,0.20774920137791592,0.999999671680672
2016,0.995485903324113,0.369504398095029,0.99999894918964
2017,0.9957792383415527,0.5423208019448011,0.999996323132582
2018,0.9961425916092128,0.6405259424111882,0.9999906380616604
2019,0.9961244217351437,0.7226245331710306,0.999980484327417
2020,0.9959663141423414,0.7628469252209618,0.9999805348547072
2021,0.9956774526978716,0.7382977977707427,0.9999842616587183
2022,0.9955421833143624,0.6800397185992445,0.9999914895484451
2023,0.995210076144938,0.530260008574523,0.9999968529852443
