Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9050525801407505,0.13338050576807658,0.9974607094429425
2014,0.9203059198121165,0.17890128337243516,0.9972310886169702
2015,0.9316464650152367,0.22858084129927247,0.9969973351569883
2016,0.9409989333482307,0.29050225131412033,0.9966969601674164
2017,0.9499402067475566,0.3537221801978714,0.9966333078039281
2018,0.9567266339655227,0.4103749258068934,0.9967363331102437
2019,0.9626769333175806,0.46845187255996923,0.9971341347024764
2020,0.9674616498518974,0.5091338862794699,0.997499332985675
2021,0.9719219452897618,0.5457243681991897,0.9979207274397376
2022,0.9756395942128628,0.5736622354340641,0.998352189099256
2023,0.9783417801256395,0.5951637936187113,0.9988251386392845
