Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9994493734323335,0.07359195102091906,0.9999999995379429
2014,0.999250469300603,0.1891465136187794,0.9999999956863969
2015,0.9989377770590555,0.4073529933597124,0.9999999542376713
2016,0.9985905866924665,0.6093096496591763,0.9999996736682377
2017,0.9980912918142918,0.7663346746435578,0.9999978158377942
2018,0.9974346769221553,0.8302476158693642,0.9999897618896405
2019,0.9965949841615589,0.8114741516710465,0.9999741609407004
2020,0.9951973863044334,0.702618072001681,0.9999685427607944
2021,0.9937799370665918,0.36070431431502015,0.9999762814435551
2022,0.991020688180257,0.06620170516752148,0.9999879255662522
2023,0.9881669989233994,0.009227373274557821,0.9999946949100743
