Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9969932034906597,4.526048830032127e-05,0.9999999988122168
2014,0.9966789401723686,0.00036122510010733644,0.9999999891887522
2015,0.9963279239967163,0.0026072158558898394,0.9999999280908236
2016,0.9958532334003329,0.016564117590054616,0.9999994833360776
2017,0.9955561815959643,0.10631903351552961,0.9999974202473054
2018,0.9953095165584209,0.38135769520961815,0.9999898672862427
2019,0.995020189125329,0.6670042372157543,0.999967062944202
2020,0.9946924919449875,0.7171638899638145,0.9999513850660073
2021,0.9943416306111686,0.5937152319219259,0.9999763483201212
2022,0.9941135430252017,0.2616311758979542,0.9999914383664693
2023,0.9941984046504204,0.05409570996476575,0.9999984180861337
