Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9986771445934741,0.2325377456450795,0.999999928158188
2014,0.9988077358713461,0.4695524829064861,0.9999998304072019
2015,0.9988983830138115,0.710491246290681,0.9999995796049412
2016,0.9990214733271943,0.8520386166540149,0.9999990048790903
2017,0.9991175034409421,0.9284263873366937,0.9999977962659995
2018,0.9992625369719199,0.9593030488750196,0.9999957722376336
2019,0.999364173854823,0.9689124842971191,0.9999934651036534
2020,0.9994272843701695,0.9701832249658857,0.9999928636012027
2021,0.9994776117051009,0.9649412467095788,0.9999952937367984
2022,0.9995063531686728,0.9563437686770145,0.9999978393854507
2023,0.9995346648864452,0.930162958009263,0.9999991542602407
