Species,Median_Probability_Gene_Presence
Morganella morganii,0.3583995392086703
Enterobacter cloacae,0.21709726586382833
Providencia rettgeri,0.21434602007154613
Klebsiella oxytoca,0.2116137035438575
Klebsiella pneumoniae,0.21132256557320833
Enterobacter spp,0.20784587945134164
Klebsiella aerogenes,0.2075346638613581
Escherichia coli,0.20711116601434487
Citrobacter freundii,0.20542165837056348
Providencia stuartii,0.1973781876190278
Enterobacter hormaechi,0.1965816415569016
Providencia spp,0.19151256383149146
Proteus mirabilis,0.1903728502238632
Pseudomonas aeruginosa,0.17231936128367814
