Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15134167240067953
Pseudomonas aeruginosa,0.13192118100042396
Enterobacter spp,0.1256450899879227
Escherichia coli,0.12147296704953015
Klebsiella pneumoniae,0.12110048997016995
Klebsiella aerogenes,0.12040827469468393
Providencia rettgeri,0.11742251964979189
Citrobacter freundii,0.11704765251281171
Enterobacter hormaechi,0.10434216692179796
Enterobacter cloacae,0.10389935933581955
Providencia stuartii,0.10381114816795854
Providencia spp,0.07610980340089746
Klebsiella oxytoca,0.058027386673388935
Morganella morganii,0.020569019584785613
