,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,4.303,1.257,1.925,6.659,0.042,0.029,955.0,1086.0,1.0
beta_year,-0.219,0.025,-0.269,-0.176,0.0,0.0,4016.0,2828.0,1.0
beta_gene_count,1.075,0.907,-0.675,2.755,0.018,0.015,2507.0,2470.0,1.0
beta_key_genes[0],-0.4,0.169,-0.702,-0.074,0.004,0.003,2121.0,2415.0,1.0
beta_key_genes[1],-0.398,0.168,-0.72,-0.092,0.004,0.003,2065.0,2705.0,1.0
beta_key_genes[2],-0.401,0.169,-0.709,-0.076,0.004,0.002,2171.0,2501.0,1.0
beta_key_genes[3],-0.284,0.178,-0.609,0.058,0.004,0.003,2285.0,2632.0,1.0
beta_key_genes[4],0.549,0.233,0.114,0.993,0.004,0.003,2997.0,2610.0,1.0
sigma_species,2.131,0.467,1.267,2.989,0.011,0.008,1683.0,2265.0,1.0
sigma_gender,0.722,0.562,0.062,1.808,0.022,0.023,870.0,685.0,1.0
sigma_age,0.661,0.237,0.299,1.115,0.005,0.005,2362.0,2726.0,1.0
sigma_source,2.033,0.401,1.317,2.79,0.014,0.007,812.0,2002.0,1.01
sigma_specialty,0.971,0.305,0.478,1.552,0.008,0.006,1476.0,2547.0,1.0
